jahr,studierende_gesamt,bafoeg_studierende,Werk,stip_gesamt_werk,stip_bafoeg_Nein,stip_bafoeg_Ja,stip_bafoeg_anteil,stip_von_bafoeg,stip_von_nichtbafoeg
2024,2864122,483814,ESW,1538,829,709,0.4609882964889467,0.0014654391977082103,3.482742569448996e-4
2024,2864122,483814,FES,2124,1193,931,0.4383239171374765,0.0019242932201217824,5.011956435889809e-4
2024,2864122,483814,FNS,1250,931,319,0.2552,6.59344293468151e-4,3.911258543012081e-4
2024,2864122,483814,HBS,2392,486,1891,0.7955405973916702,0.003908526830558851,2.041752579918229e-4
2024,2864122,483814,HSS,1180,792,387,0.3282442748091603,7.998941742074434e-4,3.3273005006074846e-4
2024,2864122,483814,KAS,2849,1972,877,0.30782730782730783,0.0018126800795346973,8.284642155552979e-4
2024,2864122,483814,RLS,801,135,666,0.8314606741573034,0.0013765620672407165,5.671534944217303e-5
2024,2864122,483814,SDW,1852,1212,640,0.34557235421166305,0.0013228224069580458,5.091778038808423e-4
2024,2864122,483814,StS,13305,8563,3710,0.3022895787501019,0.007668236140334922,0.0035974336094320566
2024,2864122,483814,hbs,1216,727,489,0.40213815789473684,0.001010718995316382,3.0542265958859107e-4
